model,total_evaluated,violations,compliance_rate,indic_delta,english_compliance,hindi_compliance,hinglish_compliance,marathi_compliance
gemini_baseline,153,1,99.35,-0.88,100.0,97.5,100.0,100.0
qwen_3b,33,14,57.58,-27.38,75.0,37.5,50.0,57.14
